FIPS_Code,States,Area_Name,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,DEATHS_2020,DEATHS_2021,DEATHS_2022,NoHSB,HSB,CAD,BD
1000,AL,Alabama,2269672,2124409,145263,6,2259349,2183330,76019,3,2286028,2226670,59358,2,5031362,5049846,5074296,13867,57112,58280,15165,69056,66870,430047,1041209,1032122,910425
1001,AL,"Autauga County, AL",26425,25023,1402,5,26545,25809,736,2,26789,26181,608,2,58902,59210,59759,162,694,709,177,682,673,4126,12977,11367,11144
1003,AL,"Baldwin County, AL",98979,92893,6086,6,99953,97034,2919,2,102849,100432,2417,2,233219,239361,246435,560,2367,2411,593,3044,2909,14555,44342,50518,52562
1005,AL,"Barbour County, AL",8684,8017,667,7,8280,7821,459,5,8241,7906,335,4,24960,24539,24706,60,276,277,93,383,372,4378,6600,5010,2007
1007,AL,"Bibb County, AL",8717,8085,632,7,8641,8347,294,3,8726,8507,219,2,22183,22370,22005,56,244,248,55,318,321,3125,7052,3967,1913
1009,AL,"Blount County, AL",25136,24010,1126,4,25377,24779,598,2,25796,25222,574,2,59102,59085,59512,137,656,674,201,865,844,6650,14284,13673,6061
1011,AL,"Bullock County, AL",4880,4589,291,6,4637,4455,182,3,4554,4426,128,2,10296,10280,10202,24,110,112,40,150,149,1540,2841,1692,804
1013,AL,"Butler County, AL",9238,8357,881,9,8819,8367,452,5,8804,8503,301,3,19031,18855,18650,47,219,222,88,331,317,1932,6050,3523,1879
1015,AL,"Calhoun County, AL",47047,43434,3613,7,46368,44497,1871,4,46140,44741,1399,3,116239,115677,115788,305,1276,1303,396,1868,1832,11867,27783,24939,15674
1017,AL,"Chambers County, AL",16102,14907,1195,7,15790,15220,570,3,15933,15523,410,2,34645,34446,34088,87,381,391,169,612,589,4275,8996,8167,3390
1019,AL,"Cherokee County, AL",11682,11090,592,5,11686,11390,296,2,11696,11422,274,2,24972,25026,25302,62,239,248,124,476,471,3720,6809,5543,2364
1021,AL,"Chilton County, AL",19951,18868,1083,5,20004,19443,561,2,20266,19806,460,2,45051,45259,45884,147,546,562,144,666,641,5569,13113,7719,4133
1023,AL,"Choctaw County, AL",4700,4357,343,7,4567,4370,197,4,4298,4133,165,3,12619,12549,12439,33,136,137,53,203,200,1802,3477,2915,1087
1025,AL,"Clarke County, AL",7898,7127,771,9,7736,7286,450,5,7694,7309,385,5,22981,22715,22515,57,282,285,101,436,423,2892,6740,4378,2259
1027,AL,"Clay County, AL",6146,5874,272,4,6048,5884,164,2,6130,5991,139,2,14211,14190,14198,33,153,156,39,257,244,1694,3813,3128,1334
1029,AL,"Cleburne County, AL",5857,5564,293,5,5913,5761,152,2,6141,5993,148,2,15063,15148,15346,37,168,172,48,259,251,1789,3958,3082,1730
1031,AL,"Coffee County, AL",22025,20970,1055,4,21624,21017,607,2,21597,21049,548,2,53547,54171,54805,159,678,685,176,722,704,4934,10108,12919,8202
1033,AL,"Colbert County, AL",23907,22186,1721,7,23609,22690,919,3,23842,23120,722,3,57299,57619,58033,166,636,647,176,880,858,5333,15244,12600,7213
1035,AL,"Conecuh County, AL",4583,4220,363,7,4390,4182,208,4,4242,4092,150,3,11553,11320,11206,29,123,122,45,234,228,1077,4200,2309,1079
1037,AL,"Coosa County, AL",4431,4163,268,6,4371,4238,133,3,4459,4346,113,2,10341,10366,10166,27,89,89,29,192,184,1217,3410,2623,915
1039,AL,"Covington County, AL",15352,14522,830,5,15233,14775,458,3,15152,14753,399,2,37507,37542,37602,88,425,431,158,709,702,3915,10037,8293,4176
1041,AL,"Crenshaw County, AL",6375,5980,395,6,6131,5929,202,3,5977,5820,157,2,13165,13056,13025,41,152,156,61,261,251,1742,3882,2133,1524
1043,AL,"Cullman County, AL",38896,37049,1847,4,38931,38020,911,2,39337,38525,812,2,88131,89618,90665,252,980,1005,254,1341,1273,9560,19624,21400,9979
1045,AL,"Dale County, AL",20944,19824,1120,5,20974,20315,659,3,21052,20500,552,2,49253,49412,49544,149,673,686,138,676,694,5093,10376,11859,6278
1047,AL,"Dallas County, AL",14834,13111,1723,11,13965,12977,988,7,13749,13055,694,5,38174,37565,36767,101,447,455,161,650,653,3709,10065,8304,4241
1049,AL,"DeKalb County, AL",31314,29766,1548,4,31002,30215,787,2,31146,30416,730,2,71648,71829,71998,188,801,819,222,1112,1081,10522,16172,14623,6969
1051,AL,"Elmore County, AL",37690,35711,1979,5,37873,36860,1013,2,38234,37395,839,2,87853,88737,89563,213,903,925,247,1097,1048,7459,19351,18732,14830
1053,AL,"Escambia County, AL",14612,13633,979,6,14142,13576,566,4,14231,13789,442,3,36680,36658,36666,93,427,440,134,640,636,4697,11249,6543,3227
1055,AL,"Etowah County, AL",41430,37969,3461,8,39439,37863,1576,4,39274,38085,1189,3,103447,103139,103088,289,1140,1162,365,1790,1763,10014,24491,24986,13067
