FIPS_Code,States,Area_Name,laborforce_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,laborforce_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,laborforce_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,POP_2020,POP_2021,POP_2022,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,DEATHS_2020,DEATHS_2021,DEATHS_2022,NoHSB,HSB,CAD,BD
1000,AL,Alabama,2269672.0,2124409.0,145263.0,6.0,2259349.0,2183330.0,76019.0,3.0,2286028.0,2226670.0,59358.0,2.0,5031362.0,5049846.0,5074296.0,13867.0,57112.0,58280.0,15165.0,69056.0,66870.0,430047.0,1041209.0,1032122.0,910425.0
1001,AL,"Autauga County, AL",26425.0,25023.0,1402.0,5.0,26545.0,25809.0,736.0,2.0,26789.0,26181.0,608.0,2.0,58902.0,59210.0,59759.0,162.0,694.0,709.0,177.0,682.0,673.0,4126.0,12977.0,11367.0,11144.0
1003,AL,"Baldwin County, AL",98979.0,92893.0,6086.0,6.0,99953.0,97034.0,2919.0,2.0,102849.0,100432.0,2417.0,2.0,233219.0,239361.0,246435.0,560.0,2367.0,2411.0,593.0,3044.0,2909.0,14555.0,44342.0,50518.0,52562.0
1005,AL,"Barbour County, AL",8684.0,8017.0,667.0,7.0,8280.0,7821.0,459.0,5.0,8241.0,7906.0,335.0,4.0,24960.0,24539.0,24706.0,60.0,276.0,277.0,93.0,383.0,372.0,4378.0,6600.0,5010.0,2007.0
1007,AL,"Bibb County, AL",8717.0,8085.0,632.0,7.0,8641.0,8347.0,294.0,3.0,8726.0,8507.0,219.0,2.0,22183.0,22370.0,22005.0,56.0,244.0,248.0,55.0,318.0,321.0,3125.0,7052.0,3967.0,1913.0
1009,AL,"Blount County, AL",25136.0,24010.0,1126.0,4.0,25377.0,24779.0,598.0,2.0,25796.0,25222.0,574.0,2.0,59102.0,59085.0,59512.0,137.0,656.0,674.0,201.0,865.0,844.0,6650.0,14284.0,13673.0,6061.0
1011,AL,"Bullock County, AL",4880.0,4589.0,291.0,6.0,4637.0,4455.0,182.0,3.0,4554.0,4426.0,128.0,2.0,10296.0,10280.0,10202.0,24.0,110.0,112.0,40.0,150.0,149.0,1540.0,2841.0,1692.0,804.0
1013,AL,"Butler County, AL",9238.0,8357.0,881.0,9.0,8819.0,8367.0,452.0,5.0,8804.0,8503.0,301.0,3.0,19031.0,18855.0,18650.0,47.0,219.0,222.0,88.0,331.0,317.0,1932.0,6050.0,3523.0,1879.0
1015,AL,"Calhoun County, AL",47047.0,43434.0,3613.0,7.0,46368.0,44497.0,1871.0,4.0,46140.0,44741.0,1399.0,3.0,116239.0,115677.0,115788.0,305.0,1276.0,1303.0,396.0,1868.0,1832.0,11867.0,27783.0,24939.0,15674.0
1017,AL,"Chambers County, AL",16102.0,14907.0,1195.0,7.0,15790.0,15220.0,570.0,3.0,15933.0,15523.0,410.0,2.0,34645.0,34446.0,34088.0,87.0,381.0,391.0,169.0,612.0,589.0,4275.0,8996.0,8167.0,3390.0
1019,AL,"Cherokee County, AL",11682.0,11090.0,592.0,5.0,11686.0,11390.0,296.0,2.0,11696.0,11422.0,274.0,2.0,24972.0,25026.0,25302.0,62.0,239.0,248.0,124.0,476.0,471.0,3720.0,6809.0,5543.0,2364.0
1021,AL,"Chilton County, AL",19951.0,18868.0,1083.0,5.0,20004.0,19443.0,561.0,2.0,20266.0,19806.0,460.0,2.0,45051.0,45259.0,45884.0,147.0,546.0,562.0,144.0,666.0,641.0,5569.0,13113.0,7719.0,4133.0
1023,AL,"Choctaw County, AL",4700.0,4357.0,343.0,7.0,4567.0,4370.0,197.0,4.0,4298.0,4133.0,165.0,3.0,12619.0,12549.0,12439.0,33.0,136.0,137.0,53.0,203.0,200.0,1802.0,3477.0,2915.0,1087.0
1025,AL,"Clarke County, AL",7898.0,7127.0,771.0,9.0,7736.0,7286.0,450.0,5.0,7694.0,7309.0,385.0,5.0,22981.0,22715.0,22515.0,57.0,282.0,285.0,101.0,436.0,423.0,2892.0,6740.0,4378.0,2259.0
1027,AL,"Clay County, AL",6146.0,5874.0,272.0,4.0,6048.0,5884.0,164.0,2.0,6130.0,5991.0,139.0,2.0,14211.0,14190.0,14198.0,33.0,153.0,156.0,39.0,257.0,244.0,1694.0,3813.0,3128.0,1334.0
1029,AL,"Cleburne County, AL",5857.0,5564.0,293.0,5.0,5913.0,5761.0,152.0,2.0,6141.0,5993.0,148.0,2.0,15063.0,15148.0,15346.0,37.0,168.0,172.0,48.0,259.0,251.0,1789.0,3958.0,3082.0,1730.0
1031,AL,"Coffee County, AL",22025.0,20970.0,1055.0,4.0,21624.0,21017.0,607.0,2.0,21597.0,21049.0,548.0,2.0,53547.0,54171.0,54805.0,159.0,678.0,685.0,176.0,722.0,704.0,4934.0,10108.0,12919.0,8202.0
1033,AL,"Colbert County, AL",23907.0,22186.0,1721.0,7.0,23609.0,22690.0,919.0,3.0,23842.0,23120.0,722.0,3.0,57299.0,57619.0,58033.0,166.0,636.0,647.0,176.0,880.0,858.0,5333.0,15244.0,12600.0,7213.0
1035,AL,"Conecuh County, AL",4583.0,4220.0,363.0,7.0,4390.0,4182.0,208.0,4.0,4242.0,4092.0,150.0,3.0,11553.0,11320.0,11206.0,29.0,123.0,122.0,45.0,234.0,228.0,1077.0,4200.0,2309.0,1079.0
1037,AL,"Coosa County, AL",4431.0,4163.0,268.0,6.0,4371.0,4238.0,133.0,3.0,4459.0,4346.0,113.0,2.0,10341.0,10366.0,10166.0,27.0,89.0,89.0,29.0,192.0,184.0,1217.0,3410.0,2623.0,915.0
1039,AL,"Covington County, AL",15352.0,14522.0,830.0,5.0,15233.0,14775.0,458.0,3.0,15152.0,14753.0,399.0,2.0,37507.0,37542.0,37602.0,88.0,425.0,431.0,158.0,709.0,702.0,3915.0,10037.0,8293.0,4176.0
1041,AL,"Crenshaw County, AL",6375.0,5980.0,395.0,6.0,6131.0,5929.0,202.0,3.0,5977.0,5820.0,157.0,2.0,13165.0,13056.0,13025.0,41.0,152.0,156.0,61.0,261.0,251.0,1742.0,3882.0,2133.0,1524.0
1043,AL,"Cullman County, AL",38896.0,37049.0,1847.0,4.0,38931.0,38020.0,911.0,2.0,39337.0,38525.0,812.0,2.0,88131.0,89618.0,90665.0,252.0,980.0,1005.0,254.0,1341.0,1273.0,9560.0,19624.0,21400.0,9979.0
1045,AL,"Dale County, AL",20944.0,19824.0,1120.0,5.0,20974.0,20315.0,659.0,3.0,21052.0,20500.0,552.0,2.0,49253.0,49412.0,49544.0,149.0,673.0,686.0,138.0,676.0,694.0,5093.0,10376.0,11859.0,6278.0
1047,AL,"Dallas County, AL",14834.0,13111.0,1723.0,11.0,13965.0,12977.0,988.0,7.0,13749.0,13055.0,694.0,5.0,38174.0,37565.0,36767.0,101.0,447.0,455.0,161.0,650.0,653.0,3709.0,10065.0,8304.0,4241.0
1049,AL,"DeKalb County, AL",31314.0,29766.0,1548.0,4.0,31002.0,30215.0,787.0,2.0,31146.0,30416.0,730.0,2.0,71648.0,71829.0,71998.0,188.0,801.0,819.0,222.0,1112.0,1081.0,10522.0,16172.0,14623.0,6969.0
1051,AL,"Elmore County, AL",37690.0,35711.0,1979.0,5.0,37873.0,36860.0,1013.0,2.0,38234.0,37395.0,839.0,2.0,87853.0,88737.0,89563.0,213.0,903.0,925.0,247.0,1097.0,1048.0,7459.0,19351.0,18732.0,14830.0
1053,AL,"Escambia County, AL",14612.0,13633.0,979.0,6.0,14142.0,13576.0,566.0,4.0,14231.0,13789.0,442.0,3.0,36680.0,36658.0,36666.0,93.0,427.0,440.0,134.0,640.0,636.0,4697.0,11249.0,6543.0,3227.0
1055,AL,"Etowah County, AL",41430.0,37969.0,3461.0,8.0,39439.0,37863.0,1576.0,4.0,39274.0,38085.0,1189.0,3.0,103447.0,103139.0,103088.0,289.0,1140.0,1162.0,365.0,1790.0,1763.0,10014.0,24491.0,24986.0,13067.0
1057,AL,"Fayette County, AL",6670.0,6304.0,366.0,5.0,6642.0,6439.0,203.0,3.0,6591.0,6411.0,180.0,2.0,16330.0,16155.0,16118.0,42.0,175.0,179.0,53.0,286.0,295.0,1951.0,4714.0,3472.0,1361.0
1059,AL,"Franklin County, AL",14579.0,13865.0,714.0,4.0,14352.0,13990.0,362.0,2.0,14565.0,14223.0,342.0,2.0,32075.0,31996.0,31932.0,97.0,397.0,407.0,109.0,495.0,480.0,4381.0,9016.0,4922.0,3050.0
1061,AL,"Geneva County, AL",11038.0,10537.0,501.0,4.0,11069.0,10762.0,307.0,2.0,11267.0,10997.0,270.0,2.0,26696.0,26667.0,26783.0,69.0,285.0,287.0,96.0,496.0,505.0,3294.0,6879.0,6103.0,2538.0
